transaction_id	amount	sender_balance_before	sender_balance_after	receiver_balance_before	receiver_balance_after	transaction_type	hour	month_2026	day_of_week	device_type	region	is_fraud
UEFZNBQH7	3391.64	25217.04	21825.4	25428.53	28820.17	peer	16	5	Tue	smartphone	Mombasa	0
UGL58KXO9	3571.9	48392.95	44821.05	26992.05	30563.95	peer	22	7	Mon	feature	Mombasa	0
UJ8JDP0LV	340.47	6250.69	5910.22	14487.57	14828.04	paybill	12	10	Fri	smartphone	Mombasa	0
UAZA7TZ0Y	263.71	49985.89	49722.18	14781.68	15045.39	peer	1	1	Sat	feature	Kisumu	0
UFXE6SYLZ	167.23	15006.95	14839.72	44627.95	44795.18	peer	11	6	Thu	feature	Eldoret	0
UJUO4KH2V	1162.65	71697.69	70535.04	15900.17	17062.82	paybill	22	10	Thu	smartphone	Mombasa	0
UH280XKXW	174.89	28270.25	28095.36	15239.06	15413.95	peer	19	8	Sat	feature	Eldoret	0
UDFB9W1Q5	269.87	38837.91	38568.04	34621.8	34891.67	till	8	4	Sat	feature	Mombasa	0
UGIXA11DP	470.86	75438.49	74967.63	16160.15	16631.01	till	23	7	Fri	feature	Nakuru	0
UII4Q2Y9V	1097.18	32366.51	31269.33	3244.61	4341.79	paybill	8	9	Fri	feature	Nairobi	0
UH60RJIW1	439.37	20217.41	19778.04	24862.43	25301.8	till	11	8	Tue	feature	Eldoret	0
UBZIM6CFN	536.9	79819.46	79282.56	13339.05	13875.95	peer	16	2	Mon	feature	Nakuru	0
UFTOHP6VZ	5633.49	2740.75	0	17253.56	22887.05	till	21	6	Thu	feature	Nakuru	1
UFKO64T02	1509.12	42521.67	41012.55	22389.16	23898.28	paybill	1	6	Tue	feature	Nairobi	0
UHBMYOFQE	1207.44	53803.63	52596.19	38080.98	39288.42	peer	22	8	Thu	smartphone	Nakuru	0
UKP5GJLQM	407	29485.87	29078.87	31615.29	32022.29	paybill	5	11	Sun	feature	Nairobi	0
UBQ0B8IC8	1505.76	65332.91	63827.15	39917.26	41423.02	peer	10	2	Tue	smartphone	Kisumu	0
UJFEYUHZ1	245.05	55695.44	55450.39	42917.94	43162.99	till	5	10	Sat	smartphone	Nairobi	0
UEDALY8OZ	591.7	1425.37	833.67	25604.65	26196.35	till	3	5	Sun	smartphone	Mombasa	0
UL14VE92M	385.24	14031.88	13646.64	34546.89	34932.13	paybill	6	12	Mon	feature	Nairobi	0
UG3D8W3ZP	733.44	67033.04	66299.6	33784.51	34517.95	till	17	7	Wed	feature	Nairobi	0
UG3VLI7KQ	1993.26	73983.02	71989.76	43866.97	45860.23	till	17	7	Fri	feature	Nakuru	0
UARLRMJKV	447.49	65396.05	64948.56	27760.04	28207.53	till	15	1	Mon	smartphone	Kisumu	0
UDZR1YXR2	1131.42	79700.67	78569.25	48270.97	49402.39	peer	1	4	Thu	smartphone	Nairobi	0
UKURTP0LZ	1225.66	27188.48	25962.82	17460.48	18686.14	paybill	22	11	Tue	smartphone	Kisumu	0
UFET1GHR0	1941.7	68520.31	66578.61	20225.41	22167.11	till	2	6	Fri	feature	Mombasa	0
UDKMKZEBB	3280.81	6822.78	3541.97	8081.44	11362.25	peer	19	4	Sat	feature	Nairobi	0
UAUQPGB7R	3432.35	46496.86	43064.51	18614.14	22046.49	paybill	19	1	Thu	smartphone	Nairobi	0
UKYF38DIU	4223.46	12948.56	8725.1	27436.69	31660.15	till	17	11	Sun	smartphone	Eldoret	0
UGQP49KWV	1765.97	79557.15	77791.18	8796.26	10562.23	peer	15	7	Sat	smartphone	Eldoret	0
UKCITFOYQ	27.36	26099.44	26072.08	37324.57	37351.93	paybill	13	11	Sat	feature	Kisumu	0
UBY72WX7P	1573.16	57703.1	56129.94	15403.04	16976.2	till	6	2	Tue	feature	Nakuru	0
UBC2V37PQ	1173.1	50942.98	49769.88	12523.09	13696.19	paybill	18	2	Wed	feature	Mombasa	0
UBV60VAIY	1336.92	31508.51	30171.59	44602.33	45939.25	till	5	2	Mon	feature	Nakuru	0
UA1GSPK9P	1496	28071.26	26575.26	32255.17	33751.17	peer	1	1	Thu	feature	Eldoret	0
UFLDFORXO	1658.11	15699.91	14041.8	36122.61	37780.72	peer	0	6	Thu	smartphone	Nakuru	0
UEL8OS9XT	494.37	61507.47	61013.1	2180.19	2674.56	peer	2	5	Fri	feature	Kisumu	0
UHW1HT7PZ	7818.35	73197.66	65379.31	18507.94	26326.29	till	13	8	Fri	smartphone	Eldoret	0
UETTD96QE	23.37	26526.95	26503.58	27638.25	27661.62	paybill	23	5	Sat	feature	Mombasa	0
ULJ49ITN7	1273.97	6120.17	4846.2	15284.85	16558.82	peer	0	12	Sun	smartphone	Eldoret	0
UGM2JA04U	317.77	25422.07	25104.3	8474.64	8792.41	peer	0	7	Thu	feature	Kisumu	0
UFTTQLGZU	1220.61	55712.78	54492.17	28503.06	29723.67	paybill	21	6	Mon	feature	Kisumu	0
UL6N92XF8	153.34	79205.3	79051.96	7004.2	7157.54	till	14	12	Wed	smartphone	Nakuru	0
UBSQ0OXFQ	1095.74	25871.81	24776.07	42433.49	43529.23	paybill	1	2	Fri	feature	Nakuru	0
UF44NLZ15	220.35	28823.34	28602.99	14679.59	14899.94	peer	21	6	Tue	feature	Nairobi	0
ULD91ZDFK	2486.06	20570.93	18084.87	30575.69	33061.75	paybill	2	12	Sun	smartphone	Mombasa	0
UFNFTU2GC	127.67	40171.15	40043.48	39914.76	40042.43	till	6	6	Sat	smartphone	Kisumu	0
UJFQJJA26	1574.58	63683.83	62109.25	44500.27	46074.85	peer	13	10	Mon	feature	Nakuru	0
UJK8YQK94	618.72	7609.16	6990.44	28914.01	29532.73	paybill	1	10	Fri	feature	Kisumu	0
UE9K9XJUY	54.91	47307.58	47252.67	1525.01	1579.92	peer	21	5	Fri	feature	Eldoret	0
UDVMWWYZX	57.1	24330.91	24273.81	26854.12	26911.22	till	5	4	Mon	smartphone	Kisumu	0
UHBNE6LOH	593.24	61622.48	61029.24	10791.05	11384.29	paybill	7	8	Fri	feature	Kisumu	0
UE678K52Q	1462.83	67377.64	65914.81	9719	11181.83	peer	3	5	Sun	feature	Mombasa	0
UFDOJEN0J	794.9	51030.65	50235.75	36304.57	37099.47	till	2	6	Wed	smartphone	Eldoret	0
UHA5U6HC3	5585.34	25904.22	20318.88	39759.31	45344.65	paybill	9	8	Sat	feature	Mombasa	0
UCBB9EITN	473.78	20143.76	19669.98	9216.68	9690.46	till	22	3	Sat	feature	Nairobi	0
UL05X4W7K	126.5	55111.14	54984.64	2909.68	3036.18	peer	8	12	Thu	feature	Eldoret	0
UFDYT9MOG	3701.43	20094.41	16392.98	27461.33	31162.76	paybill	14	6	Mon	smartphone	Mombasa	0
UABM92H3T	1880.77	74775.66	72894.89	31913.53	33794.3	peer	7	1	Wed	smartphone	Eldoret	0
UAJ99T2D5	1090.66	48976.49	47885.83	20980	22070.66	paybill	4	1	Sun	smartphone	Eldoret	0
UFAJEPECQ	426.99	12775.85	12348.86	6008.23	6435.22	till	15	6	Mon	feature	Eldoret	0
UD8B25SQ8	627.55	7623.14	6995.59	15570.67	16198.22	paybill	4	4	Sun	feature	Eldoret	0
UKDZP6LFE	5831.77	37986.49	32154.72	4891.71	10723.48	till	4	11	Fri	feature	Nakuru	0
UJTQVDZ4X	1014.78	27769.72	26754.94	23233.69	24248.47	till	6	10	Sun	smartphone	Nakuru	0
UH5O3O0LL	1573.76	75936.74	74362.98	44334.02	45907.78	peer	9	8	Sat	feature	Nakuru	0
UB3DD03UV	453.47	50106.21	49652.74	25156.81	25610.28	paybill	9	2	Sat	smartphone	Nairobi	0
UF57P6BKL	2912.02	54748.71	51836.69	30792.56	33704.58	till	4	6	Tue	smartphone	Nakuru	0
UD4MUEKIP	4320.7	2218.25	0	29288.78	33609.48	till	1	4	Fri	smartphone	Nakuru	1
UK3JGZLMA	4225.88	54205.75	49979.87	28668.35	32894.23	till	23	11	Sat	feature	Eldoret	0
UC08DTNQF	206.31	65669.09	65462.78	31296.98	31503.29	paybill	18	3	Sun	smartphone	Nairobi	0
UCFWYJXRP	2575.76	72437.52	69861.76	9789.56	12365.32	till	7	3	Mon	feature	Nairobi	0
UBKYRYBOV	107.83	1555.92	1448.09	4722.15	4829.98	paybill	13	2	Tue	smartphone	Nakuru	1
UELA0GNZS	1723.31	52492.24	50768.93	19269.83	20993.14	paybill	16	5	Mon	feature	Kisumu	0
UGA75UUZP	1716.73	20929.49	19212.76	24801.87	26518.6	peer	1	7	Wed	smartphone	Nairobi	0
UH37D4IVS	1770.83	50352.53	48581.7	43873.6	45644.43	paybill	17	8	Sat	feature	Eldoret	0
UF2CWTG1M	1992.44	77409.69	75417.25	27398.59	29391.03	till	20	6	Sun	smartphone	Mombasa	0
UBFHV1XG1	826.09	64566.1	63740.01	49525.26	50351.35	till	23	2	Sun	feature	Mombasa	0
UKWW5WFCP	798.12	20076.31	19278.19	29027.2	29825.32	paybill	17	11	Fri	smartphone	Eldoret	0
UICQBNKX9	3027.42	19163.89	16136.47	33992.24	37019.66	till	4	9	Fri	feature	Kisumu	0
UJT26Q3XL	2020.08	8339.6	6319.52	45127.65	47147.73	peer	2	10	Mon	feature	Nakuru	0
UF9DXBZ9S	1055.56	31230.49	30174.93	14881.76	15937.32	paybill	15	6	Wed	feature	Nairobi	0
UG1YBWMLU	158.02	965.93	807.91	45269.1	45427.12	paybill	3	7	Sat	smartphone	Nakuru	0
UBUFM8ZOV	143.59	76548.39	76404.8	33838.5	33982.09	paybill	6	2	Fri	feature	Kisumu	0
UCY30YSXP	988.18	6754.42	5766.24	4585.21	5573.39	paybill	14	3	Wed	smartphone	Kisumu	0
UF8RIEC4D	1383.62	53834.22	52450.6	37618.73	39002.35	till	19	6	Fri	smartphone	Mombasa	0
UJENF313F	2352.29	7387.37	5035.08	24721.02	27073.31	paybill	6	10	Wed	smartphone	Kisumu	0
UJK0QTL3Q	88.92	58989.14	58900.22	27295.79	27384.71	paybill	4	10	Sat	feature	Nakuru	0
UE2SPFHV5	1835.4	11525.04	9689.64	38075.53	39910.93	paybill	14	5	Sun	feature	Nakuru	0
UBZSEDFQS	1444.36	6820.13	5375.77	35048.46	36492.82	peer	5	2	Tue	feature	Eldoret	0
UAOONNCIL	113.32	71362.56	71249.24	7330.24	7443.56	till	17	1	Sat	feature	Kisumu	0
UCB7R31QW	1080.24	78932.5	77852.26	18713.54	19793.78	peer	5	3	Wed	smartphone	Mombasa	0
UI7VP1IEI	694.58	19011.15	18316.57	45384.69	46079.27	till	19	9	Thu	smartphone	Mombasa	0
UHVASIFPW	1344.32	30163.14	28818.82	4175.04	5519.36	paybill	3	8	Tue	smartphone	Nairobi	0
UFCSS9TOQ	2251.86	56436.24	54184.38	12436.21	14688.07	paybill	21	6	Wed	smartphone	Eldoret	0
UBM0W10LB	601.28	20369.21	19767.93	20260.1	20861.38	till	2	2	Tue	feature	Kisumu	0
UKGEZ7BH2	1271.1	9593.55	8322.45	5876.31	7147.41	paybill	19	11	Wed	feature	Nakuru	0
UHJ1GM25L	1571.35	54515.05	52943.7	11875.32	13446.67	paybill	0	8	Thu	feature	Eldoret	0
UGMGYN2JC	766.8	6723.02	5956.22	26418.51	27185.31	paybill	16	7	Fri	smartphone	Nakuru	0
UELCXLVPY	859.94	78234.26	77374.32	27800.25	28660.19	peer	11	5	Sat	feature	Eldoret	0
UGJ98CWN2	584.43	42263.32	41678.89	49648.24	50232.67	peer	15	7	Tue	feature	Eldoret	0
UCC2NNUVY	114.99	55663.35	55548.36	3771.73	3886.72	paybill	2	3	Thu	smartphone	Nairobi	0
UCTOXIE0R	272.67	55690.32	55417.65	22727.05	22999.72	till	16	3	Mon	feature	Eldoret	0
ULQ9K6RE4	1481.51	30797.73	29316.22	36855.04	38336.55	till	21	12	Thu	smartphone	Kisumu	0
UKMCT64Z7	3702.15	76037.88	72335.73	44513.19	48215.34	paybill	9	11	Fri	smartphone	Kisumu	0
UD2IRMUQ9	912.26	22262.76	21350.5	9406.06	10318.32	peer	20	4	Mon	feature	Nairobi	0
ULZS13C9X	934.59	21348.44	20413.85	18017.25	18951.84	till	17	12	Fri	feature	Nakuru	0
UIXG8P6BE	451.56	2682.04	2230.48	13988.18	14439.74	peer	21	9	Tue	feature	Mombasa	0
UF8SKCH8J	794.52	54810.02	54015.5	8130.85	8925.37	till	12	6	Fri	smartphone	Mombasa	0
UKG7FXZV4	3627.45	75989.01	72361.56	36285.98	39913.43	peer	5	11	Mon	smartphone	Eldoret	0
UEX1OXRWK	1425.61	6711.6	5285.99	43833.07	45258.68	paybill	1	5	Tue	feature	Eldoret	0
UHCCPRHVL	1203.06	2206.72	1003.66	18823.17	20026.23	till	4	8	Sun	feature	Kisumu	0
UC1SDIEQF	2495.47	12118.31	9622.84	29706.54	32202.01	paybill	14	3	Sun	feature	Nakuru	0
UC37ZGF9Q	719.21	66350.22	65631.01	28454.07	29173.28	paybill	21	3	Mon	smartphone	Mombasa	0
UIQIVBKV4	98.43	33244.08	33145.65	13670.35	13768.78	paybill	8	9	Fri	smartphone	Nakuru	0
UGEJNOBBU	87.04	55367.98	55280.94	26717.31	26804.35	paybill	5	7	Mon	feature	Nairobi	0
UH1K9YE9O	2078.91	44478.99	42400.08	38449.37	40528.28	paybill	2	8	Fri	feature	Eldoret	0
UDVOBBZ2S	4344.26	30290.26	25946	12054.24	16398.5	till	9	4	Tue	feature	Mombasa	0
UFF90KM3T	344.21	76328.68	75984.47	30308.73	30652.94	paybill	0	6	Thu	smartphone	Eldoret	0
UFY9V20YA	389.41	60584.23	60194.82	2344.82	2734.23	till	16	6	Sun	smartphone	Kisumu	0
UJRSZ1N3I	469.34	53758.7	53289.36	26015.39	26484.73	till	6	10	Mon	smartphone	Nairobi	0
UHLFYO175	2219.71	68189.3	65969.59	27595.34	29815.05	peer	17	8	Sat	smartphone	Nairobi	0
UDU9RN8QT	1234.67	10807.82	9573.15	1439.13	2673.8	till	16	4	Sun	feature	Eldoret	0
UHGIUI9KK	2110.59	51184.97	49074.38	40252.23	42362.82	till	20	8	Thu	feature	Eldoret	0
UFU7ZKUT6	3501.9	28111.95	24610.05	29495.88	32997.78	paybill	1	6	Sun	smartphone	Nakuru	0
UAKZMPJRH	746.97	72342.28	71595.31	17412.77	18159.74	till	18	1	Sat	feature	Kisumu	0
UBWVIYTWB	1082.29	72846.66	71764.37	14897.97	15980.26	till	23	2	Thu	smartphone	Mombasa	0
UA89FX5RX	1112.25	75966.7	74854.45	7353.67	8465.92	paybill	16	1	Wed	feature	Mombasa	0
UBXI04B7P	3917.49	61536.53	57619.04	3311.8	7229.29	peer	9	2	Sun	feature	Nairobi	0
UC7875AUD	70.42	39460.19	39389.77	16437.58	16508	paybill	5	3	Thu	feature	Nakuru	0
UIQGEFQJG	1505.23	27390.9	25885.67	26863.17	28368.4	paybill	15	9	Fri	smartphone	Mombasa	0
UJ463SDYG	924.61	12237.03	11312.42	6941.36	7865.97	paybill	15	10	Tue	smartphone	Mombasa	0
UGI18K0AX	1536.13	55750.47	54214.34	20583.06	22119.19	peer	7	7	Sat	smartphone	Kisumu	0
UEFY751YW	3111	48194.64	45083.64	11192.45	14303.45	paybill	17	5	Fri	smartphone	Nakuru	0
UCRQ9NZ61	2587.19	22359.37	19772.18	8850.52	11437.71	peer	17	3	Sun	smartphone	Mombasa	0
UBSTN7E36	139.33	42800.44	42661.11	17799.57	17938.9	till	0	2	Tue	smartphone	Eldoret	0
UIPYZR6QC	3369.55	40323.04	36953.49	34519.74	37889.29	paybill	16	9	Thu	smartphone	Kisumu	0
UHYLAJAHC	60.16	50269.24	50209.08	4087.95	4148.11	till	14	8	Mon	smartphone	Eldoret	0
UHBO119XP	3102.2	4980.13	1877.93	13843.88	16946.08	paybill	15	8	Thu	feature	Nairobi	0
UBYXTXMGT	2461.4	47822.52	45361.12	49312.85	51774.25	till	16	2	Tue	smartphone	Nakuru	0
UEQZPNIQF	1153.72	38813.39	37659.67	30912.74	32066.46	till	23	5	Sun	smartphone	Nairobi	0
UKP15AHDB	690.47	57669.23	56978.76	3117.07	3807.54	till	23	11	Sun	smartphone	Nairobi	0
ULBPT11F9	239.79	57096.63	56856.84	44760.34	45000.13	till	18	12	Fri	feature	Mombasa	0
UJ13I59SO	1075.17	2534.73	1459.56	43360.75	44435.92	till	14	10	Fri	smartphone	Eldoret	0
UIR97Y2LO	655.77	19473.39	18817.62	13462.16	14117.93	paybill	18	9	Tue	feature	Nakuru	0
UDKZ36U8U	710.5	45160.81	44450.31	42035.5	42746	peer	9	4	Wed	smartphone	Mombasa	0
UKCQNT3BN	140.16	18733.99	18593.83	17146.34	17286.5	peer	11	11	Sun	smartphone	Kisumu	0
UJ0UR5L8A	963.6	63154.78	62191.18	24922.11	25885.71	till	9	10	Mon	feature	Mombasa	0
ULVH6T1NT	136.4	58972.12	58835.72	27887.11	28023.51	paybill	14	12	Wed	feature	Mombasa	0
UB201LHLB	1324.78	10293.67	8968.89	14188.8	15513.58	till	11	2	Tue	smartphone	Nakuru	0
UI7UPFLN4	676.67	19623.82	18947.15	24912.38	25589.05	till	1	9	Sat	feature	Kisumu	0
UH8XRG2GZ	601.5	702	100.5	11266.64	11868.14	till	0	8	Sat	smartphone	Kisumu	0
UA4C3BAEW	682.04	12938.44	12256.4	9328.35	10010.39	peer	15	1	Mon	smartphone	Eldoret	0
UHNWYWRRA	503.41	71751.56	71248.15	4011.69	4515.1	peer	23	8	Mon	feature	Eldoret	0
UEA3Y36DD	1115.12	55787.22	54672.1	49862.78	50977.9	peer	7	5	Fri	feature	Eldoret	0
UE2C8QIZK	3403.87	77560.69	74156.82	43275.36	46679.23	peer	19	5	Sat	smartphone	Kisumu	0
UGNTCAGRP	2547.99	39310.83	36762.84	36144.8	38692.79	till	16	7	Sun	smartphone	Nairobi	0
UAI6YUJ7Y	2579.39	44585.36	42005.97	28580.63	31160.02	till	1	1	Fri	smartphone	Eldoret	0
UFAHF337K	492.71	16485.7	15992.99	48399.7	48892.41	till	11	6	Sun	feature	Mombasa	0
UFN02YC0M	1861.75	40658.07	38796.32	12120.49	13982.24	peer	19	6	Sun	smartphone	Eldoret	0
UJ18O1BJ9	182.97	23161.58	22978.61	29061.91	29244.88	paybill	13	10	Fri	feature	Kisumu	0
UCYXDW2ZC	251.5	25719.31	25467.81	29694.15	29945.65	till	3	3	Sun	smartphone	Nakuru	0
UFMD7Q1DD	691.22	10839.73	10148.51	3168.75	3859.97	till	23	6	Fri	feature	Nakuru	0
UADTV25AO	6901.8	54797.27	47895.47	4393.41	11295.21	till	12	1	Fri	smartphone	Nairobi	0
UIGNEKRCP	224.19	60842.21	60618.02	29781.94	30006.13	paybill	8	9	Sun	smartphone	Eldoret	0
UE7ZRWQEA	956.78	63563.73	62606.95	5334.96	6291.74	till	22	5	Thu	feature	Kisumu	0
UFP3XVKVZ	2852.97	32740.61	29887.64	46646.9	49499.87	peer	11	6	Thu	feature	Nakuru	0
ULZRUIN3O	7054.09	14580.52	7526.43	3324.81	10378.9	till	1	12	Tue	smartphone	Kisumu	0
UA8QZPKY3	2027.09	3942.76	1915.67	39075.72	41102.81	paybill	21	1	Sat	feature	Eldoret	0
UKKJFPNQV	2639.88	16210.02	13570.14	8182.8	10822.68	till	4	11	Fri	feature	Mombasa	0
UA2M6TWD1	269.17	18931.77	18662.6	31687.93	31957.1	paybill	4	1	Tue	smartphone	Eldoret	0
UKYO18PAJ	3576.77	47105.7	43528.93	34149.1	37725.87	till	12	11	Fri	smartphone	Eldoret	0
UFO1VSMAD	902.08	30217.86	29315.78	23133.99	24036.07	peer	7	6	Mon	smartphone	Nakuru	0
UEM2SMDZQ	537.97	35155.7	34617.73	28874.31	29412.28	peer	22	5	Sun	smartphone	Kisumu	0
UFXYF9IGF	658.6	30772.91	30114.31	27177.64	27836.24	paybill	14	6	Tue	feature	Nairobi	0
UCXPBWHVN	3554.24	43473.66	39919.42	21576.41	25130.65	peer	18	3	Wed	smartphone	Mombasa	0
UB2TNHEYR	607.03	26858.96	26251.93	6963.6	7570.63	paybill	18	2	Fri	feature	Eldoret	0
UGVM4W3ZK	2370	42723.54	40353.54	44694.63	47064.63	peer	0	7	Sat	smartphone	Eldoret	0
UBIENFNVU	2330.99	60217.01	57886.02	35349.02	37680.01	paybill	5	2	Sat	smartphone	Kisumu	0
UCRFLQBMA	2261.49	2779.24	517.75	28494.48	30755.97	paybill	0	3	Fri	feature	Eldoret	0
UKRZPGU2H	2156.12	27432.33	25276.21	41062.87	43218.99	peer	9	11	Fri	feature	Nakuru	0
UHU1RSUJT	175.87	36614.32	36438.45	30197.89	30373.76	till	3	8	Sun	smartphone	Mombasa	0
UIHP0XI5B	1046.6	12078.4	11031.8	11462.57	12509.17	peer	7	9	Thu	smartphone	Nakuru	0
UD3VMZWFF	1921.56	1075.03	0	29922.14	31843.7	peer	1	4	Sun	smartphone	Mombasa	1
UFTVG9KU8	1250.37	47962.45	46712.08	41339.94	42590.31	till	10	6	Sun	smartphone	Eldoret	0
UG795E5IZ	4794.01	46713	41918.99	20042.57	24836.58	till	7	7	Thu	feature	Mombasa	0
UJWWNC21O	929.86	49234.53	48304.67	45592.62	46522.48	till	13	10	Wed	feature	Mombasa	0
UFU54D8WZ	224.69	48955.19	48730.5	905.51	1130.2	till	17	6	Thu	smartphone	Nakuru	0
UDRLKTE42	3085.04	8266.79	5181.75	45937.53	49022.57	peer	11	4	Mon	smartphone	Nakuru	0
UAE4PA8HY	2341.58	56608.37	54266.79	7626.95	9968.53	till	4	1	Wed	smartphone	Nakuru	0
UBXJN6FOK	1288.05	33988.04	32699.99	36822.21	38110.26	peer	8	2	Thu	smartphone	Kisumu	0
UAHCVSQAM	4085.52	72863.83	68778.31	6140.54	10226.06	paybill	21	1	Sat	smartphone	Nairobi	0
UBID3DNKN	403.6	14987.04	14583.44	41874.54	42278.14	peer	13	2	Sat	smartphone	Nakuru	0
UIUVFMH07	605.53	41555.16	40949.63	29563.77	30169.3	paybill	21	9	Sun	smartphone	Nairobi	0
UBFE0MP2I	763.75	59565.55	58801.8	10278.99	11042.74	peer	8	2	Fri	feature	Nairobi	0
UK5HVGOX2	2325.27	9229.96	6904.69	20725.23	23050.5	peer	8	11	Thu	feature	Nairobi	0
UDRVT997E	2987.35	27773.04	24785.69	17347.66	20335.01	till	5	4	Thu	feature	Nairobi	0
UKGQ9CVAH	2006.26	47006.75	45000.49	1642.33	3648.59	paybill	16	11	Fri	feature	Eldoret	0
UGPOXTFDC	3658.46	14193.32	10534.86	24918.39	28576.85	peer	21	7	Fri	feature	Eldoret	0
UJW4YCZ04	814.31	24986.71	24172.4	39024.79	39839.1	peer	23	10	Thu	smartphone	Nakuru	0
UJVL00EZZ	487.74	53116.64	52628.9	8901.8	9389.54	paybill	17	10	Fri	feature	Nakuru	0
UFE2J51B3	4869	44628.7	39759.7	43031.6	47900.6	peer	16	6	Wed	smartphone	Mombasa	0
UHSB4GF16	1148.8	40225.38	39076.58	29769.25	30918.05	peer	7	8	Tue	smartphone	Nakuru	0
UAIQNF74T	104.15	34200.43	34096.28	39989.1	40093.25	till	22	1	Sat	feature	Nairobi	0
UFI6L3UEY	644.76	3020.32	2375.56	23603.35	24248.11	peer	16	6	Sun	smartphone	Mombasa	0
UB551LDQN	1248.07	23594.17	22346.1	35702.96	36951.03	paybill	17	2	Sat	smartphone	Nakuru	0
UFVR1H61I	1125.05	35316.94	34191.89	20038.15	21163.2	paybill	21	6	Mon	smartphone	Nakuru	1
UFWYAM1N0	1230.25	14636.06	13405.81	43089.28	44319.53	peer	3	6	Fri	smartphone	Eldoret	0
UH89FKBI4	4381.37	21732.5	17351.13	32199.98	36581.35	paybill	9	8	Thu	smartphone	Nakuru	0
UBSWOVCXE	788.23	78316.62	77528.39	41989.44	42777.67	paybill	22	2	Sun	feature	Eldoret	0
UFQI7E1DD	3026.04	2264.97	0	11098.61	14124.65	paybill	7	6	Thu	smartphone	Kisumu	1
UF8HLJEFY	394.14	8418.28	8024.14	39995.8	40389.94	till	7	6	Fri	smartphone	Eldoret	0
UFFZ8OBK3	295.02	44582.05	44287.03	36040.65	36335.67	paybill	0	6	Sun	feature	Mombasa	0
ULTDD2EC2	2454.56	57809.13	55354.57	42784.82	45239.38	peer	23	12	Sun	feature	Eldoret	0
UKWXUJ3AC	2659.88	75558.34	72898.46	7054.09	9713.97	paybill	3	11	Sun	smartphone	Kisumu	0
